Date,trfusd,trfusdvar,Value
3/8/2018,400821.8509,-22.37631574,352489.9339
3/7/2018,516365.4041,34.9901217,400821.8509
3/6/2018,382520.8819,-11.04454957,516365.4041
3/5/2018,430013.9903,-7.423625108,382520.8819
3/4/2018,464496.4666,-18.95041191,430013.9903
3/3/2018,573101.5759,7.729907948,464496.4666
3/2/2018,531980.0107,-2.221950139,573101.5759
3/1/2018,544068.9516,13.82061713,531980.0107
2/28/2018,478005.6244,18.95638509,544068.9516
2/27/2018,401832.6751,-56.887124,478005.6244
2/26/2018,932047.9457,24.03007957,401832.6751
2/25/2018,751469.2798,101.2340785,932047.9457
2/24/2018,373430.4276,-12.85191409,751469.2798
2/23/2018,428501.0091,-27.97435922,373430.4276
2/22/2018,594928.4233,5.178251968,428501.0091
2/21/2018,565638.2495,20.79279877,594928.4233
2/20/2018,468271.499,-11.20137998,565638.2495
2/19/2018,527340.9642,-10.61705757,468271.499
2/18/2018,589979.4188,-7.720058562,527340.9642
2/17/2018,639336.577,7.422289989,589979.4188
2/16/2018,595161.9324,0.947297503,639336.577
2/15/2018,589576.8853,-4.371301552,595161.9324
2/14/2018,616527.146,19.25119531,589576.8853
2/13/2018,516998.7139,-30.01888486,616527.146
2/12/2018,738768.899,-2.050508069,516998.7139
2/11/2018,754234.5391,4.026086328,738768.899
2/10/2018,725043.6556,-27.53300496,754234.5391
2/9/2018,1000515.69,-20.75241743,725043.6556
2/8/2018,1262518.878,6.240073262,1000515.69
2/7/2018,1188364.088,27.0797637,1262518.878
2/6/2018,935132.4345,-29.87993816,1188364.088
2/5/2018,1333616.101,-45.39616376,935132.4345
2/4/2018,2442348.73,25.63086177,1333616.101
2/3/2018,1944067.481,18.37178173,2442348.73
2/2/2018,1642340.305,0.601894563,1944067.481
2/1/2018,1632514.29,-0.106644031,1642340.305
1/31/2018,1634257.128,-10.58603125,1632514.29
1/30/2018,1827742.522,-5.742631784,1634257.128
1/29/2018,1939097.767,-15.47611246,1827742.522
1/28/2018,2294141.72,-7.373241846,1939097.767
1/27/2018,2476759.163,-22.5649492,2294141.72
1/26/2018,3198498.79,-0.337335854,2476759.163
1/25/2018,3209324.993,-3.259609789,3198498.79
1/24/2018,3317461.286,-16.0235477,3209324.993
1/23/2018,3950466.108,-28.96265963,3317461.286
1/22/2018,5561112.068,-0.942336334,3950466.108
1/21/2018,5614014.97,-24.67220957,5561112.068
1/20/2018,7452780.625,-0.695977845,5614014.97
1/19/2018,7505013.859,10.69405198,7452780.625
1/18/2018,6779961.276,-5.147083937,7505013.859
1/17/2018,7147868.044,5.018741709,6779961.276
1/16/2018,6806278.505,-11.17582393,7147868.044
1/15/2018,7662641.869,-10.82790509,6806278.505
1/14/2018,8593093.923,-7.339370254,7662641.869
1/13/2018,9273727.091,-14.88818184,8593093.923
1/12/2018,10895933.48,-1.58372558,9273727.091
1/11/2018,11071272.05,4.420593602,10895933.48
1/10/2018,10602575.28,-7.196905172,11071272.05
1/9/2018,11424807.87,-5.013323002,10602575.28
1/8/2018,12027800.35,-0.144224671,11424807.87
1/7/2018,12045172.46,1.826904936,12027800.35
1/6/2018,11829066.66,4.819183684,12045172.46
1/5/2018,11285211.59,15.84941138,11829066.66
1/4/2018,9741276.587,50.24439835,11285211.59
1/3/2018,6483620.483,-16.04013684,9741276.587
1/2/2018,7722285.672,-24.9481247,6483620.483
1/1/2018,10289264.11,-10.56041057,7722285.672
12/31/2017,11504149.54,1.799890361,10289264.11
12/30/2017,11300748.46,-7.634131192,11504149.54
12/29/2017,12234766.59,5.387719839,11300748.46
12/28/2017,11609290.54,19.27051968,12234766.59
12/27/2017,9733579.236,-20.80672288,11609290.54
12/26/2017,12290916.09,-24.90948689,9733579.236
12/25/2017,16368134.37,-27.97250103,12290916.09
12/24/2017,22724840.66,25.45585606,16368134.37
12/23/2017,18113814.19,23.98724941,22724840.66
12/22/2017,14609416.92,24.30869214,18113814.19
12/21/2017,11752530.47,5.564913314,14609416.92
12/20/2017,11132989.27,7.789055315,11752530.47
12/19/2017,10328496.93,-0.806931869,11132989.27
12/18/2017,10412518.86,-1.148302802,10328496.93
12/17/2017,10533475.05,-2.026455384,10412518.86
12/16/2017,10751346.29,5.848868322,10533475.05
12/15/2017,10157261.44,9.291507403,10751346.29
12/14/2017,9293733.502,14.64110277,10157261.44
12/13/2017,8106807.487,19.01015296,9293733.502
12/12/2017,6811862.085,-20.67539865,8106807.487
12/11/2017,8587325.961,-16.36518225,6811862.085
12/10/2017,10267644.74,72.08147388,8587325.961
12/9/2017,5966734.538,71.34301005,10267644.74
12/8/2017,3482333.208,33.45078296,5966734.538
12/7/2017,2609451.313,-0.385919672,3482333.208
12/6/2017,2619560.713,23.31331501,2609451.313
12/5/2017,2124312.944,0.829559723,2619560.713
12/4/2017,2106835.486,-21.64668152,2124312.944
12/3/2017,2688891.2,-2.086657936,2106835.486
12/2/2017,2746194.894,-4.444203457,2688891.2
12/1/2017,2873917.641,17.75152249,2746194.894
11/30/2017,2440662.83,6.189334779,2873917.641
11/29/2017,2298406.742,29.46339652,2440662.83
11/28/2017,1775333.263,4.215879776,2298406.742
11/27/2017,1703515.114,-11.59317353,1775333.263
